Region,SubRegion,StudyArea,SurveyYear,BatchCode,SurveyIndex,SurveyDate,Latitude,Longitude,Management,StructureType,SpeciesName,CommonName,SpeciesCount,Maturity
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5926,9/12/2010,27.90642,-93.60242,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,1,n/a
Gulf of Mexico,Flower Garden Banks,East Bank,2010,GULF-FGBS-0900-1000,5926,9/12/2010,27.90642,-93.60242,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,1,n/a
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5943,9/13/2010,27.87456,-93.81232,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,1,n/a
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5943,9/13/2010,27.87456,-93.81232,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,1,n/a
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5952,9/13/2010,27.87497,-93.81841,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,1,n/a
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5952,9/13/2010,27.87497,-93.81841,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,1,n/a
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5953,9/12/2010,27.87498,-93.81638,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,2,n/a
Gulf of Mexico,Flower Garden Banks,West Bank,2010,GULF-FGBS-0900-1000,5953,9/12/2010,27.87498,-93.81638,FGBNMS,HARD                                              ,Diadema antillarum,Long-Spined Urchin,2,n/a
